TITLE;TYPE;RATING;REVIEWS;ADDRESS;LATITUDE;LONGITUDE;POSTAL_CODE;PRICE;DESCRIPTION;TAGS;
Sal y chili;Indio;9,6;188;Calle Pensamiento, 16, 28020 Madrid;40.4592306;-3.6974671;28020;30;;Reabierto, San Valentín, Asiático;
Con Amor;Español;9;6943;C/ Espronceda 34, 28003 Madrid;40.4403981;-3.6949632;28003;34;Que con amor se llega a todas partes es algo que bien saben en este restaurante del barrio de Chamberí. Aquí encontramos amor (con mayúsculas) por la cocina tradicional, por las elaboraciones cuidadas y por los productos. En los fogones está el chef Juanjo Canals, hijo de Mari Fran Blanco (ya nos enamoró en Doña Paca), que solo con su huevo poche con foie, su taco de atún o su steak tartare clásico ya consigue que quedemos prendados. Pero el amor verdadero (el que te vuelve débil) llega con la tempura de gambón con cremosa de Kimuchi (ya sentimos las mariposas en el estómago) y se endulza con un brownie espectacular al que echamos el ojo nada más entrar.;Con amigos, Cumpleaños, Despedida de solter@, Familia, Grupos, Romántico, Terraza, Selección Insider - Terrazas, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, San Valentín, Europeo;
Shalakabula;De Autor;9,2;4157;Calle de Don Ramon de la Cruz, 72, 28006 Madrid;40.42847039999999;-3.6748222;28006;30;Detrás de este nombre un poco loco se esconde la ilusión de toda la vida de Juan Sánchez Encinas, Natalia Sánchez y Sergio Señor, por tener un restaurante propio. Estos tres socios y amigos (Juan cocina, Natalia dirige la sala y Sergio es el hombre que gestiona el negocio) plantean su establecimiento como un lugar donde pueda disfrutar todo el mundo, de modo que permiten que se pueda comer lo mismo en cualquiera de las dos zonas diferenciadas del local: en la barra y las mesas altas, y en la sala propiamente dicha, algo más íntima y cálida. No es un establecimiento grande, pero ha sido decorado con gusto y coquetería. Son recetas tradicionales que siempre contienen un guiño viajado, un toque cosmopolita que le dan un nuevo aire y le aportan una mirada más fresca. Cocina de mercado de fusión que se materializa en creaciones como las manitas de cerdo con salsa brava japonesa, el ajoblanco de coco con sardina ahumada y licuado de rúcula, las croquetas de pringá, los rollitos de rabo de toro con cremoso de apionabo, el tataki de salmón fresco con alga wakame, cremoso de puerros y aire de limón…;Carnes, Tartar, Selección Insider - Recomendaciones locales, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Fin de Año y Año Nuevo, Reabierto, Creativo;
gula pintxosbar;Del Norte;8,8;583;Calle Sirio, 54,  Madrid;40.4100125;-3.6649744;28007;20;;Familia, Nochebuena y Navidad, Reabierto, Europeo, Español;
Doli;Indio;9,4;2472;Calle de Diego de León, 13, 28006 Madrid;40.4352562;-3.6839354;28006;20;;Con amigos, Family Days, Fin de Año y Año Nuevo, Reabierto, SABOREA ASIA, Asiático;
Bululú Bar and Coffee;Americano;9,4;1060;Calle de Santa Cruz de Marcenado 13, 28015 Madrid;40.4285785;-3.708866499999999;28015;18;;Con amigos, Desayuno, Para ver deportes, Hamburguesas, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Económicos, Fin de Año y Año Nuevo, Reabierto;
Aranda Madrid;Mediterráneo;9,4;575;Calle López de Aranda, 46, 28027 Madrid;40.4440393;-3.6340386;28027;30;;Arroces, Paella, Family Days, Reabierto;
WELKHOMEclub;Creativo;9,2;1864;Calle del Monte Esquinza, 15, 28010 Madrid;40.4271431;-3.6923368;28010;20;;Afterwork, Selección Insider - Recomendaciones locales, Selección Insider - Trendy, Reabierto, San Valentín;
QUIMBAYA by Edwin Rodríguez;Colombiano;9,8;41;Calle de Zurbano, 63, 28010 Madrid;40.4362881;-3.6933476;28010;50;;Afterwork, Con amigos, Cumpleaños, De negocios, Grupos, Selección Insider - Recomendaciones locales, Reabierto, Latino;
Restaurante de Sichuan;Chino;9,5;204;Calle del Caballero de Gracia, 8, 28013 Madrid;40.419408;-3.7010173;28013;15;;Reabierto, Asiático;
Guasa Madrid;Venezolano;9,5;19;Calle de San Lorenzo, 9, 28004 Madrid;40.4252779;-3.698956;28004;20;;Reabierto;
Ella Sky Bar Madrid;Mediterráneo;8,7;268;C/ Gran Vía, 42 - Planta 10, 28013 Madrid;40.4204389;-3.705227;28013;25;;Con amigos, Con vistas, De moda, Romántico, Reabierto;
Undaal Indian RestoBar;Indio;9,5;99;Calle de Ferraz, 54, 28008 Madrid;40.427712;-3.718541;28008;15;;Familia, Reabierto, Asiático;
Soy Kitchen; ;9,5;409;Calle de Zurbano, 59, 28010 Madrid;40.4360112;-3.6933079;28010;50;Julio es toda una personalidad en el panorama gastronómico madrileño. En realidad, Julio se llama Yong Ping Zang y nació en China. Tras conocer los secretos de la cocina china imperial en su país y el recetario tradicional español en un asador pamplonica, desarrolló un estilo propio con mucha personalidad en la capital. Primero con Lamian, un tributo al street food asiático, y luego con Soy Kitchen, donde da rienda suelta a su desbordante creatividad. En pleno barrio de Chamberí y con un interiorismo contemporáneo y elegante firmado por el estudio Lavela, Julio ofrece en Soy Kitchen su aplaudida y personalísima cocina fusión. Lo oriental se alía con lo mediterráneo y, desde hace muy poco, también con lo latinoamericano, para obtener un innovador juego de texturas y de sabores. No tiene carta, sino varios menús degustación sorpresa (entre los que se encuentran uno vegetariano y otro sin gluten) y carta de raciones para tomar en barra.;Con amigos, Romántico, Sushi, Selección Insider - Novedades, Selección Insider - Trendy, Certificado de Excelencia TripAdvisor 2018, Insider Week, Reabierto;
Yakiniku Rikyu;Asiático;9,5;656;Paseo de la Castellana, 15, 28046 Madrid;40.4281576;-3.6902959;28046;55;Es cierto que la gastronomía japonesa es más que sushi, y este restaurante ha llegado para demostrarlo. Basa su cocina en la técnica “yakiniku”, el arte de hacerte tu propia carne en una parrilla, inventada por los coreanos y sofisticada por los nipones. Lo has entendido bien: en Yakiniku Rikyu se prepara uno mismo la carne o el marisco al gusto y en una barbacoa bien preparada con un extractor para que no haya molestias de humo.La carta ha sido asesorada por el chef Francisco José Alba Ruiz, con más de 20 años de experiencia trabajando en Japón, e incluye entrantes (kimchi, yukke, namur...), sopas y arroces de clara inspiración coreana. Para hacer a la parrilla, la incomparable Wagyu Ozaki, nuestra vaca rubia gallega o un variado de mariscos. Todo servido en un espacio sofisticado que evoca las calles de Tokyo.;Con amigos, De moda, De negocios, Selección Insider - Recomendaciones locales, Selección Insider - Trendy, Reabierto;
Maíz, Agua y Cal;Mexicano;9,4;82;Calle de Apodaca, 3, 28004 Madrid;40.4273921;-3.7012155;28004;20;;Reabierto, Latino;
Sagar;Indio;9,3;1297;C/ Alonso Heredia, 22, 28028 Madrid;40.4358194;-3.6724106;28028;21;Sagar significa océano en indio. El agua, elemento que transmite transparencia, pureza y energía o calma, según el momento. Inspirándose en esta idea, el restaurante homónimo nos ofrece viajar a la India sin salir de Madrid a partir de recetas tradicionales y exquisitos detalles gastronómicos que caracterizan el buen gusto en la mesa. Una cocina tradicional adaptada a la actualidad. La gastronomía india es un espectáculo de sabor y color para los sentidos, y en este espacio situado en el distrito de Salamanca llega a su máximo esplendor en forma de samosas, currys, tandooris, pescados y arroces que siguen recetas milenarias. Sagar es un referente en la degustación de la cocina india en la capital, pero también un sitio con el que celebrar cualquier acontecimiento social.;Con amigos, Familia, Carnes, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Fin de Año y Año Nuevo, Insider Week, Reabierto, Restaurant Week, SABOREA ASIA, Asiático;
Bodega de los Secretos;Gastronómico;9,3;6542;C/ de San Blas, 4, 28014 Madrid;40.4106027;-3.6945795;28014;35;Muy pocos restaurantes pueden presumir de ofrecer la mejor gastronomía mediterránea en unas acogedoras cuevas del siglo XVII. La Bodega de los Secretos es un restaurante misterioso escondido en la bodega (valga la redundancia) más antigua del centro de Madrid, en la que las hornacinas donde descansaba el vino se convierten en semireservados en los que puedes disfrutar de una comida inolvidable rodeado de historia y de secretos escondidos en sus paredes (pasadizos clandestinos, bayonetas de la Guerra Civil…). La decoración es diferente en cada una de las cuevas: lámparas, manteles, espejos… y la comida está rica hasta decir basta. Una experiencia exclusiva, con una carta totalmente apetecible (mención especial para el pulpo que hay que pedir sí o sí) y un servicio impecable.;Con amigos, Familia, Grupos, Romántico, Pinchos y Tapas, Tartar, Selección Insider - Gastronómicos, Selección Insider - Mediterráneos, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Fin de Año y Año Nuevo, Nochebuena y Navidad, Originales, Reabierto, San Valentín, Mediterráneo;
BIBI;Iraní;9,2;1064;Calle de Hospital de Órbigo 1, 28050 Madrid;40.5115719;-3.6696408;28050;28;;Con amigos, Cumpleaños, Familia, Carnes, Family Days, Fin de Año y Año Nuevo, Reabierto, San Valentín, Árabe;
Bonbini;Venezolano;9,3;148;Calle de López de Hoyos, 81 | Mercado Municipal de Prosperidad, Puesto 20, 28002 Madrid;40.4444217;-3.6740793;28002;13;;Con amigos, Arepas, Hamburguesas, Reabierto;
Kyoka López de Hoyos;Japonés;9,1;158;Calle de López de Hoyos, 159, 28002 Madrid;40.44893820000001;-3.667269399999999;28002;20;;Comuniones, Con amigos, Cumpleaños, De negocios, Despedida de solter@, Familia, Sushi, Reabierto, Asiático;
Tierra de Especias Halal;Indio;9,1;19;Calle de Alcalá, 414 (CC Alcala Norte, Segunda Planta, Local 11), 28027 Madrid;40.436563;-3.63808;28017;17;;Reabierto, Asiático;
Taberna agrado;Español;9,4;31;Calle de la Ballesta, 1, 28004 Madrid;40.4211657;-3.7036894;28004;20;;Con amigos, Reabierto, Europeo;
Miso;Coreano;9,4;34;Calle de Santa Casilda, 1, 28005 Madrid;40.4048583;-3.7133953;28005;35;;Reabierto, Asiático;
Rooster;Americano;9,4;195;Calle de San Andrés, 26, 28004 Madrid;40.4273596;-3.703475;28004;16;;Reabierto;
Mavera;Turco;9,4;96;Calle de Sor Ángela de la Cruz, 37, 28020 Madrid;40.4602233;-3.6976847;28020;20;;Reabierto, Árabe;
Choose Ristorante Naturale;Italiano;9,4;110;Calle de Segovia, 17, 28005 Madrid;40.4137852;-3.7123766;28005;20;;Con amigos, Selección Insider - Italianos, Reabierto, Europeo;
Asador Nuevo Porche;Asador;9,5;2063;C/ Alaró, 5, 28042 Madrid;40.4709229;-3.5826144;28042;36;;Bodas, Comuniones, Con amigos, Cumpleaños, De negocios, Despedida de solter@, Familia, Grupos, Terraza, Carnes, Cocido, De cuchara, Selección Insider - Terrazas, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Family Days, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto;
Distrito 798;Asiático;9,1;6572;C/ Capitán Haya, 43, 28020 Madrid;40.4614196;-3.6919746;28020;25;;Con amigos, De negocios, Grupos, Poke, Sushi, Tartar, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, SABOREA ASIA;
Arpit Indian Restaurant;Indio;9;754;Calle de María Tubau, 19, Las Tablas, 28050 Madrid;40.5112122;-3.6784682;28050;18;;Con amigos, Romántico, Fin de Año y Año Nuevo, Reabierto, SABOREA ASIA, San Valentín, Asiático;
Biang Biang; ;9,4;1226;Calle Pelayo, 8, 28004 Madrid;40.4220927;-3.698903;28004;13;;Selección Insider - Recomendaciones locales, Reabierto, Asiático;
D´stapa Madrid;Arrocería;9,2;790;Calle de Segovia, 8, 28005 Madrid;40.4136244;-3.7103844;28005;28;;Con amigos, Familia, Arroces, Paella, Reabierto, San Valentín, Europeo, Español;
Queen Las Tablas;De Fusión;9,3;2145;C/ Castiello de Jaca, 14, 28050 Madrid;40.5093637;-3.6781536;28050;21;;Grupos, Hamburguesas, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Nochebuena y Navidad, Reabierto, San Valentín;
Urumea;De mercado;9;1246;Calle Cochabamba, 7, 28016 Madrid;40.4555671;-3.6811907;28016;20;;Con amigos, Familia, Fiestas San Isidro, Arroces, Carnes, Paella, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Reabierto;
Kundan Indian;Indio;9,3;492;Calle Hospital de Órbigo, 9, 28050 Madrid;40.511677;-3.6694919;28050;25;;Con amigos, Cumpleaños, De negocios, Despedida de solter@, Familia, Family Days, Reabierto, SABOREA ASIA, San Valentín, Asiático;
Distrito 1;Vietnamita;9,3;556;Calle de las Delicias, 24, 28045 Madrid;40.4040076;-3.6926936;28045;20;;Nochebuena y Navidad, Reabierto, San Valentín, Asiático;
Cómete México Ríos Rosas;Mexicano;9,3;317;Calle de Ríos Rosas, 7, 28003 Madrid;40.4422308;-3.7029922;28003;16;;Afterwork, Con amigos, Familia, Reabierto, Latino;
NEBAK Madrid;De Autor;9,5;191;Calle de Zorrilla, 11, 28014 Madrid;40.4168202;-3.6970832;28014;50;Este templo de la gastronomía vasca se ha llevado las mejores críticas de los comensales en tiempo récord. El hecho de que solo cuente con ocho mesas y un reservado ya lo convierte en un lugar especial y bastante exclusivo. Pero si a esto añadimos que su carta es 100% (aquí no valen medias tintas) gluten free, se convierte en el nuevo templo para los celíacos. El chef Joseba Egaña demuestra que, con las recetas de las ‘amas’ y las ‘amamas’, se puede elaborar alta (altísima) cocina y ofrecer el mejor rabo de vaca de todo Madrid. Despacito y con buena letra, eso sí, porque su elaboración lleva unas ocho horas aproximadamente. Y en una carta sin gluten, lo difícil llega con los postres. Pues bien, los de Egaña aprueban, y con nota.;Con amigos, De negocios, Reabierto, San Valentín;
Luxury;Asiático;9,2;793;Calle de Sandoval, 18, 28010 Madrid;40.4303337;-3.7049417;28010;25;;Con amigos, Familia, Sushi, Reabierto;
ÁNDELE Ponzano;Mexicano;9,1;339;Calle de Raimundo Fernández Villaverde, 26, 28003 Madrid;40.44618699999999;-3.700025;28003;25;;Afterwork, Con amigos, Cumpleaños, Familia, Reabierto, Latino;
Millennials Cafe;Argentino;9,3;40;Calle Eloy Gonzalo, 21, 28010 Madrid;40.4348095;-3.7010767;28010;20;;Con amigos, Carnes, Reabierto, Latino;
Seoul;Coreano;9,2;2057;Ronda de Segovia, 25, 28005 Madrid;40.4109332;-3.7179451;28005;20;;Reabierto, Asiático;
Küche;Mediterráneo;8,9;11681;Calle de la Princesa, 18 (entrada por C/ Duque de Liria, 20), 28008 Madrid;40.4264417;-3.71271;28015;25;;Comuniones, Con amigos, De negocios, Grupos, Arroces, Bacalao, Carnes, De cuchara, Marisco, Paella, Setas, Tartar, Día de la Madre, Día del Padre, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, San Valentín;
Sargo Madrid;De mercado;8,6;1987;Calle del General Díaz Porlier, 57, 28006 Madrid;40.4305052;-3.6768764;28006;35;Un espacioso comedor repleto de plantas, colores zen, papeles pintados, telas coloridas y originales, luces nórdicas y una terraza con cinco agradables mesas. En definitiva, un decorado muy cuidado y a la orden del día en cuanto a tendencias. Así se ha ganado Sargo el anhelado estatus de restaurante más de moda en Madrid. Y también, para qué negarlo, porque aquí se come la mar de bien.Y se comen esos platillos inspirados en la dieta mediterránea que siempre sientan bien, apetecen y son ideales para compartir en una salida con amigos o con la pareja. Por ejemplo, puedes picar unas deliciosas croquetas de cocido o de rabo de toro; el canelón de aguacate, txangurro y ruibarbo o el pulpo a la brasa con coliflor y kale. Las cosas se ponen serías llegados al segundo plato, con dos especialidades de la casa: el entrecot de vaca vieja con salsa de cebreiros o el delicioso sargo a la brasa con verduritas.;Con amigos, De moda, Familia, Romántico, Carnes, De cuchara, Selección Insider - Terrazas, Selección Insider - Trendy, Día del Padre, Insider Week, Reabierto, Restaurant Week, San Valentín;
Mother India;Indio;8,9;1667;Calle Francisco Villaespesa, 6, 28017 Madrid;40.4287516;-3.6471751;28017;15;;Con amigos, Día del Padre, Económicos, Family Days, Reabierto, SABOREA ASIA, San Valentín, Asiático;
Gastromaquia;Internacional;9;1589;Calle de Pelayo, 4, 28004 Madrid;40.4219025;-3.6990385;28004;28;;De moda, Arroces, Paella, Tartar, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Nochebuena y Navidad, Reabierto;
Mantra;Indio;9;1197;Calle de Viriato, 47, 28010 Madrid;40.4358393;-3.6985141;28010;15;;Económicos, Family Days, Reabierto, SABOREA ASIA, Asiático;
Ageyoka, Fritos de Osaka;Japonés;9,2;295;Calle de Vergara, 10, 28013 Madrid;40.4175292;-3.711285;28013;20;;Sushi, Family Days, Reabierto, SABOREA ASIA, San Valentín, Asiático;
Govara;Internacional;9,2;376;Calle de María Tubau, 17 (Interior), 28050 Madrid;40.5116008;-3.6782098;28050;25;;Brunch, Con amigos, Cumpleaños, De negocios, Familia, Grupos, Terraza, Carnes, Selección Insider - Terrazas, Nochebuena y Navidad, Reabierto, San Valentín;
Chiquito Riz;Mediterráneo;9,2;4445;Calle de Coslada, 3, 28028 Madrid;40.43721;-3.675723199999999;28028;35;Uno de esos lugares que puede pasar desapercibido por fuera, pero que tiene mucho que ofrecer (gastronómicamente) por dentro. Al pie del cañón desde hace más de 50 años, este restaurante familiar es famoso por la lubina a la sal (que sirven sin espina alguna) y por el chuletón de buey a la parrilla. Su carta se completa con buenos pescados, mariscos de peso y las mejores carnes, sin olvidar los pucheros clásicos de España (alubias rojas con rabo, fabes con almejas, callos o sopa de cocido). Su menú degustación hará que quieras volver: muy rico el aliño de bonito casero, el pulpo a la gallega, los chopitos fritos, y los entrantes en general para compartir. De segundo, entrecot o dorada a la sal a elegir. Y de postre la clásica tarta de queso con arándanos. En la sencillez está el éxito.;Con amigos, Familia, Para ver deportes, Terraza, Arroces, Carnes, Marisco, Paella, Selección Insider - Mariscos, Selección Insider - Mediterráneos, Selección Insider - Terrazas, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Fin de Año y Año Nuevo, Reabierto, San Valentín;
Bangalore;Indio;9,3;3848;Calle de Diego de León, 63, 28006 Madrid;40.4347832;-3.675674;28006;30;BANGALOREBangalore es un proyecto de los mismos creadores de Purnima (un clásico de la cocina hindú en la capital) y tiene todos los ingredientes de un restaurante de los buenos de verdad. Una decoración preciosa (muy barrio de Salamanca) de la mano de Madrid in Love: vegetación por todos lados, tapices sofisticados, mesas de mármol y lámparas de pai-pai. Una cocina de diez que recupera las recetas tradicionales del norte de la India. Y una carta llena de delicias como el horno tandoori, los curries, las clásicas samosas (de vegetales, de carne o de pescado), los pescados al estilo madrás o platos vegetales como las Bengen Masala (ojo al picante porque el medio picante pica de lo lindo). ¿Y para terminar? Un sano y rico Mango Lassi. ¡Delicioso!;Con amigos, Familia, Grupos, Romántico, Terraza, Selección Insider - Terrazas, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Reabierto, SABOREA ASIA, Asiático;
El Picaporte Bistró;Mediterráneo;9,3;1914;Calle de García de Paredes, 51, 28010 Madrid;40.4367373;-3.6942195;28010;35;;Afterwork, De moda, De negocios, Familia, Grupos, Romántico, Carnes, Marisco, Tartar, Día de la Madre, Día del Padre, Family Days, Reabierto;
Tandoori Madrid;Indio;9,2;1734;Plaza de Cascorro, 3, 28012 Madrid;40.4109037;-3.7070697;28012;20;;Con amigos, Día del Padre, Family Days, Reabierto, SABOREA ASIA, Asiático;
Deli Peppe;Italiano;9,3;100;Calle Virgen de la Alegria 10 Mercado de Las Ventas, Primer Lugar , Local 128 28027 Madrid, 28027 Madrid;40.4332652;-3.6569592;28027;15;;Desayuno, Terraza, Arepas, Económicos, Family Days, Reabierto, San Valentín, Europeo;
Botín;Castellano;9,1;67;Calle de Cuchilleros, 17, 28005 Madrid;40.4141769;-3.7079547;28005;42;;Con amigos, De negocios, Familia, Grupos, Cochinillo, Cordero, Reabierto, Europeo, Español;
Moti e Vi;Español;9,1;32;Calle de Alburquerque, 5, 28010 Madrid;40.4313091;-3.7026066;28010;25;;Con amigos, Reabierto, Europeo;
La Dominga;De Fusión;9;758;Calle del Espíritu Santo, 15, 28004 Madrid;40.4252756;-3.7034897;28004;20;;Con amigos, Cumpleaños, Familia, Romántico, Ceviche, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Family Days, Fin de Año y Año Nuevo, Reabierto, San Valentín;
La Taberna del Pintor;Venezolano;9;1192;Calle Rufino Blanco, 9, 28028 Madrid;40.4282674;-3.6666424;28028;20;;Con amigos, Terraza, Día de la Madre, Día del Padre, Fin de Año y Año Nuevo, Reabierto;
El Taller Restaurante Madrid;De Fusión;9;1278;Calle de Raimundo Fernández Villaverde, 49, 28003 Madrid;40.4467171;-3.6966894;28020;35;Cocina de autor con raíces: la gastronomía tradicional vasca y la peruana se unen en este laboratorio con una interpretación moderna. La experiencia en este restaurante abarca desde tomar un pincho con un vino en la barra hasta tomar una copa a media tarde o ir a cenar relajadamente (aquí no se viene con prisas o a cenar cualquier cosa). En los platos del chef Luis Granados se nota su andadura por múltiples fogones de la capital. Entre sus especialidades encontramos la terrina de foie, el ceviche o el bacalao al pil pil. La carta de vinos crece y evoluciona constantemente para estar a la altura de la oferta gastronómica. Para el afterwork sirven misteriosos cócteles de elaboración propia (no te dicen los ingredientes) y además tienen 19 ginebras para elegir.;Con amigos, Grupos, Selección Insider - Terrazas, Insider Week, Nochebuena y Navidad, Reabierto;
Ante la duda Madrid;Mediterráneo;9;92;Calle de Bretón de los Herreros, 18, 28003 Madrid;40.4395049;-3.6988418;28003;12;;Afterwork, Con amigos, Cumpleaños, Reabierto;
Fun;Asiático;9;90;Calle del Desengaño 8, 28004 Madrid;40.420782;-3.7027202;28004;13;;Afterwork, Reabierto;
Los Espetinhos;Brasileño;9,4;1212;Calle de San Bernardo, 85, 28015 Madrid;40.42844420000001;-3.7063373;28015;24;;Buffet libre, Con amigos, Cumpleaños, Familia, Nochebuena y Navidad, Reabierto, Latino;
A vÁnvera;Italiano;9,1;3901;Calle Zurbano 85, 28003 Madrid;40.4397957;-3.6930305;28003;23;A Luigi Bertaccini, el chef de este restaurante italiano de aire sobrio y funcional, le gusta decir que la suya es una “cocina de la amistad”. Con unos platos que combinan calidez y espontaneidad, basados en la filosofía del prestigioso chef italiano Andrea Tumbarello, amigo y mentor de Bertaccini. Este espíritu lúdico, a la vez que fiel al recetario tradicional, se traduce en una mezcla entre cocina de proximidad, de fusión, de mercado y de temporada.Sus platos hablan por sí solos. Bertaccini ofrece al personal, con el talante cálido y desenfadado que ha sabido transmitir a su local, unas pizzas de masa fina deliciosas, algunas de ellas, como la de trufa negra, decididamente gourmet. Completan la carta sus deliciosas pastas caseras o entrantes de gran nivel como su parmiggiana o una burrata muy top. Un surtido de lasañas más que interesante es también una excelente opción: desde la de requesón y espinacas a la de boletus.;Con amigos, Familia, Grupos, Pizza, Selección Insider - Italianos, Selección Insider - Recomendaciones locales, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Fin de Año y Año Nuevo, Insider Week, Nochebuena y Navidad, Reabierto, Restaurant Week, San Valentín, Europeo;
Ampudia;Del Norte;9,1;2366;C/ General Ampudia, 18, 28003 Madrid;40.4436153;-3.7150276;28003;35;;Con amigos, De negocios, Familia, Grupos, Terraza, Carnes, De cuchara, Tartar, Certificado de Excelencia TripAdvisor 2018, Día de la Madre, Día del Padre, Family Days, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, Europeo, Español;
Sal Gorda;Español;9,1;966;C/ Beatriz de Bobadilla, 9, 28040 Madrid;40.4479159;-3.7149922;28040;40;;Comuniones, Con amigos, Cumpleaños, De negocios, Familia, Grupos, Terraza, Tartar, Certificado de Excelencia TripAdvisor 2018, Día del Padre, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, Europeo;
Purnima;Indio;9,1;2919;C/ Goya, 110, 28009 Madrid;40.4243609;-3.6700496;28009;20;;Con amigos, Cumpleaños, Familia, Día de la Madre, Día del Padre, Fin de Año y Año Nuevo, Nochebuena y Navidad, Reabierto, SABOREA ASIA, Asiático;
